난이도,단어,언어
하,나무,한
하,바다,한
하,하늘,한
하,사과,한
하,집,한
하,물,한
하,밥,한
하,꽃,한
하,강,한
하,산,한
하,길,한
하,눈,한
하,불,한
하,별,한
하,손,한
하,발,한
하,눈,한
하,코,한
하,입,한
하,귀,한
하,말,한
하,돈,한
하,책,한
하,날,한
하,달,한
하,해,한
하,땅,한
하,방,한
하,빵,한
하,옷,한
하,악기,한
하,사람,한
하,동물,한
하,음식,한
하,색깔,한
하,과일,한
하,채소,한
하,얼굴,한
하,학교,한
하,가족,한
하,친구,한
하,학생,한
하,선생,한
하,의사,한
하,소방,한
하,경찰,한
하,군인,한
하,요리,한
하,운동,한
하,공원,한
하,우산,한
하,구름,한
하,비,한
하,눈,한
하,바람,한
하,소리,한
하,노래,한
하,배,한
하,차,한
하,공,한
하,문,한
하,창,한
하,침대,한
하,책상,한
하,의자,한
하,시계,한
하,열쇠,한
하,여름,한
하,가을,한
하,겨울,한
하,봄,한
하,아침,한
하,점심,한
하,저녁,한
하,밤,한
하,낮,한
하,곰,한
하,양,한
하,말,한
하,닭,한
하,소,한
하,개,한
하,새,한
하,꽃,한
하,풀,한
하,돌,한
하,모래,한
하,전화,한
하,시장,한
하,우체국,한
하,약국,한
하,마트,한
하,식당,한
하,버스,한
하,기차,한
하,비행기,한
하,배,한
중,컴퓨터,한
중,자동차,한
중,학교,한
중,공부,한
중,친구,한
중,여행,한
중,음악,한
중,영화,한
중,시장,한
중,도서관,한
중,운동장,한
중,전화기,한
중,신문,한
중,가방,한
중,의자,한
중,책상,한
중,교실,한
중,선생님,한
중,학생,한
중,회사,한
중,병원,한
중,약국,한
중,식당,한
중,커피숍,한
중,백화점,한
중,마트,한
중,영화관,한
중,미술관,한
중,박물관,한
중,놀이공원,한
중,동물원,한
중,수족관,한
중,기차역,한
중,버스정류장,한
중,지하철,한
중,비행기,한
중,여객선,한
중,자전거,한
중,오토바이,한
중,스마트폰,한
중,태블릿,한
중,텔레비전,한
중,냉장고,한
중,세탁기,한
중,에어컨,한
중,청소기,한
중,전자레인지,한
중,토스터기,한
중,청바지,한
중,운동화,한
중,모자,한
중,안경,한
중,시계,한
중,지갑,한
중,열쇠,한
중,우산,한
중,가족사진,한
중,노트북,한
중,계산기,한
중,프린터,한
중,스캐너,한
중,문서함,한
중,파일철,한
중,스테이플러,한
중,클립,한
중,포스트잇,한
중,연필깎이,한
중,지우개,한
중,형광펜,한
중,만년필,한
중,볼펜,한
중,샤프,한
중,노트,한
중,스케치북,한
중,색연필,한
중,사인펜,한
중,물감,한
중,연습장,한
중,달력,한
중,다이어리,한
중,수첩,한
중,명함,한
중,도서,한
중,잡지,한
중,신문,한
중,교과서,한
중,참고서,한
중,문제집,한
중,운동복,한
중,체육복,한
중,교복,한
중,양말,한
중,속옷,한
중,장난감,한
중,인형,한
중,보드게임,한
중,카드,한
중,퍼즐,한
상,의사소통능력,한
상,경제활성화,한
상,프로그래밍,한
상,지속가능발전,한
상,인공지능,한
상,빅데이터,한
상,블록체인,한
상,환경보호,한
상,사회복지,한
상,문화유산,한
상,정보보안,한
상,자연과학,한
상,기술혁신,한
상,산업발전,한
상,교육정책,한
상,국제협력,한
상,과학기술,한
상,디지털전환,한
상,에너지절약,한
상,스마트시티,한
상,가상현실체험,한
상,메타버스구현,한
상,자율주행자동차,한
상,양자컴퓨팅,한
상,우주탐사계획,한
상,바이오의약품,한
상,유전자치료법,한
상,세포재생기술,한
상,면역체계강화,한
상,신경과학연구,한
상,생명윤리문제,한
상,기후변화대응,한
상,온실가스감축,한
상,재생에너지개발,한
상,친환경소재연구,한
상,해양생태계보존,한
상,생물다양성확보,한
상,자원순환경제,한
상,폐기물재활용,한
상,도시재생사업,한
상,지역균형발전,한
상,사회적기업육성,한
상,공정무역활성화,한
상,노동환경개선,한
상,직업교육훈련,한
상,평생학습체제,한
상,온라인교육플랫폼,한
상,미디어리터러시,한
상,정보격차해소,한
상,사이버보안강화,한
상,개인정보보호법,한
상,데이터주권확립,한
상,알고리즘윤리,한
상,인공지능윤리,한
상,로봇공학원리,한
상,나노기술응용,한
상,신소재개발연구,한
상,항공우주공학,한
상,원자력발전소,한
상,핵융합에너지,한
상,미래교통시스템,한
상,스마트그리드구축,한
상,원격의료서비스,한
상,정밀의료시스템,한
상,건강관리플랫폼,한
상,원격근무환경,한
상,가상협업도구,한
상,증강현실기술,한
상,확장현실응용,한
상,사물인터넷연결,한
상,클라우드컴퓨팅,한
상,엣지컴퓨팅기술,한
상,양자암호통신,한
상,초고속통신망,한
상,5G기술상용화,한
상,6G기술개발,한
상,위성통신시스템,한
상,심해자원개발,한
상,극지연구활동,한
상,우주자원탐사,한
상,행성간이주계획,한
상,태양에너지활용,한
상,풍력발전단지,한
상,지열에너지시설,한
상,수소경제활성화,한
상,탄소중립정책,한
상,순환경제모델,한
상,지속가능금융,한
상,사회책임투자,한
상,지식재산권보호,한
상,문화콘텐츠산업,한
상,국제평화협력,한
상,다문화사회통합,한
상,세대간소통증진,한
상,고령화사회대응,한
